text,toxicity,explanation
"I don’t care who you know or what you claim, ’cause none of it matters when your skill set is basura, friend.",toxic,"The text contains aggressive and derogatory language, specifically using 'basura' as a pejorative to insult the recipient's skills"
"You keep flexing like you’re some top dog, but news flash: you’re barely relevant around here, señor.",toxic,"The text contains a subtle form of sarcasm and slight belittlement, targeting the recipient's perceived relevance and status. This"
"It’s hilarious how you front like a boss, but in reality, tu es un amateur complet—go figure.",toxic,"The text contains personal attacks and derogatory language ('tu es un amateur complet'), which are indicative of a negative and often toxic"
"Dawg, you keep actin’ all big and bad, but let me tell you, ain’t nobody tremblin’ in their boots.",toxic,"The text contains a subtle form of aggression and potential disrespect, as it suggests the person is not as intimidating as"
"Man, y’all better get your act together, ’cause nobody round here is buyin’ your sorry excuses, capisce?",toxic,"The text contains aggressive and condescending language, using phrases like 'get your act together' and'sorry excuses', which can"
"Don’t act like you care about my issues, ’cause you’ve been ghosting me whenever I actually need help.",toxic,"The text expresses frustration and disappointment due to perceived dishonesty and lack of support, which can be interpreted as toxic"
"I’m not fully satisfied with the outcome, aunque reconozco que hiciste tu mejor esfuerzo.",negative,"The text expresses dissatisfaction with the outcome, but it does not contain any personal attacks, offensive language, or intent to harm. The"
"Aye, chico, don’t be droppin’ names like you run this block, 'cause you don’t run nothin’ but your mouth.",toxic,"The text contains aggressive and disrespectful language, 'don’t be droppin’ names like you run this block, '"
"Look, compa, you can’t keep riding on everyone else’s coattails, then act like you did all the work.",toxic,"The text contains a critique that implies a sense of entitlement or unfair distribution of credit, which can be perceived as toxic,"
"Dude, you can’t even handle basic stuff, yet you actin’ like you’re El Jefe—give me a break.",toxic,"The text contains criticism and undermines the recipient's abilities, expressing disbelief and disapproval, which can be perceived"
"Oye, you might wanna keep your lame opinions to yourself, because nadie here cares about ’em.",toxic,"The text expresses an aggressive and dismissive tone towards the recipient, using phrases like 'lame opinions' and 'nobody here"
"Yo, I swear if you keep that smug attitude, I might lose it and teach you a lesson you won’t forget.",toxic,"The text expresses a threatening and aggressive attitude, indicating potential toxicity due to the use of strong language and a confrontational"
"Thanks for double-checking those numbers, mon ami; it really helps avoid mistakes.",non-toxic,"The text is polite and respectful, using a playful nickname ('mon ami') without any harmful or negative connotations"
"Dawg, you think you’re slick, but we all see through that cheap hustle—seriously, c’est ridicule.",toxic,"The text contains implicit criticism and judgment, using phrases like 'cheap hustle' and 'ridicule', indicating a"
"Yo, your entire argument is trash, and I hope you realize how ridiculous you sound, carnal.",toxic,"The text contains personal attacks ('trash', 'ridiculous') and a derogatory term ('carnal'), indicating a high level of"
I’m done pretendin’ you’ve got a single brain cell to rub together—s’like talkin’ to a brick wall here.,toxic,"The text contains aggressive language and personal attacks, expressing frustration and contempt towards the recipient, which is indicative of high toxicity"
"That’s the stupidest thing I’ve heard all week, and trust me, I’ve heard some real dumb stuff, hermano.",toxic,"The text contains an aggressive and disrespectful language ('stupidest thing', 'hermano'), indicating a negative and potentially"
"We haven’t reached our goal yet, but I appreciate everyone’s contributions so far.",non-toxic,"The text is positive and constructive, acknowledging the team's efforts without setting unrealistic expectations or criticizing current progress."
"Real talk, I’m gonna snap if you keep runnin’ that mouth, so just shut it before things get ugly.",toxic,"The text contains aggressive and threatening language, indicating a high level of toxicity."
"I’m sick of you runnin’ your mouth like you own the place, but you ain’t got a clue what’s up, compadre.",toxic,"The text contains aggressive and disrespectful language, expressing frustration and disdain towards the recipient. Phrases like '"
"Who do you think you are, stepping in here like some jefe grande when you clearly can’t handle basic tasks?",toxic,"The text contains aggressive and disrespectful language, implying the recipient's incompetence and mocking their attempts to address tasks."
"You run your mouth so much, I bet even the walls are tired of your babble, amico.",toxic,"The text contains a personal attack with the phrase 'I bet even the walls are tired of your babble', which implies a level of"
"If you had two brain cells to rub together, you’d realize how stupid that plan sounds, mais non, you just don’t get it.",toxic,The text contains derogatory language ('you’d realize how stupid that plan sounds') and passive-aggressive tone ('mais non
"Quit frontin’ like you’re some genius—news flash, people are laughing at you, amigo.",toxic,"The text contains a derogatory and condescending tone towards the recipient, implying they are not intelligent and are being mocked by others"
"Look, homes, your so-called “expert opinion” ain’t worth squat, so mejor cállate y vete por ahí.",toxic,"The text contains aggressive and disrespectful language, such as 'your so-called “expert opinion” ain’t worth squ"
"I’m done listening to your sorry excuses. You’re just tryna save face, but guess what? It ain’t workin’, bro.",toxic,"The text contains aggressive language and a confrontational tone, expressing frustration and a lack of respect for the recipient's attempts at explanation"
"I think there might be a misunderstanding, but I’m willing to talk it out whenever you’re ready.",non-toxic,"The text expresses a willingness to communicate and resolve any potential misunderstandings, which is not indicative of toxicity."
"If I hear one more bit of your so-called expert advice, I’m gonna lose it, parce que tu dis n’importe quoi.",toxic,"The text contains aggressive and disrespectful language, expressing frustration and contempt towards the'so-called expert advice' and"
"Get outta my face with that nonsense, because nobody’s buyin’ what you’re sellin’, pendejo.",toxic,"The text contains aggressive and derogatory language, including profanity and personal attacks. It expresses frustration and disbelief,"
"You straight up messed everything and still have the nerve to act like you’re untouchable—give me a break, bro.",toxic,"The text expresses strong criticism and a lack of respect, using phrases like'messed everything' and 'act like you’re"
"Look, I don’t give a damn about your excuses; you’re straight up wasting my time, hermano.",toxic,"The text contains aggressive and disrespectful language, expressing frustration and contempt towards the recipient, which are indicative of high"
"Boy, you talkin’ nonsense half the time, and the other half you’re just blowin’ hot air, so kindly hush.",toxic,"The text contains personal attacks (e.g., 'you talkin’ nonsense') and dismissive language ('kindly hush'),"
"Could we go over the details one more time, por favor? I want to make sure we’re on the same page.",non-toxic,"The text is polite, requesting additional clarification and expressing a desire to ensure understanding, which are neutral and positive communication behaviors."
"Swear to God, if you keep poking your nose in my business, I’ll put you on blast so everyone sees your true colors.",toxic,"The text contains a threatening statement, expressing intent to publicly expose someone's alleged unfavorable traits if they continue to interfere"
"You best watch that attitude, ’cause I can play dirty too, mon frère, and you don’t want that smoke.",toxic,"The text contains a threatening tone, using phrases like 'play dirty' and'smoke', which can be interpreted as a warning of potential harm"
